FILING_SEQ_NO,AGEGRP,SALARIES,INCOME_HP,Income_BP,TOTAL_INCOME_OS,GTI,TTI,pitax1,pitax2,pitax_diff
267437815,0,0,0,0,0,0,0,0,9197,9197
267438857,0,0,0,0,87830,0,0,0,6420,6420
267485353,0,0,0,0,0,0,0,0,0,0
267497731,0,0,0,0,468,0,0,0,0,0
267502092,0,0,0,0,0,0,0,0,7925,7925
267537591,0,160000,0,0,8403,0,0,0,195650,195650
267548753,0,0,0,0,114947,0,0,0,444106,444106
267566687,0,0,0,0,814,0,0,0,7768,7768
267575919,0,0,0,0,0,0,0,0,9528,9528
267576422,1,0,107904,0,291752,0,0,0,6595,6595
267589771,0,0,0,0,11099,0,0,0,8487,8487
267600012,0,0,0,0,0,0,0,0,9912,9912
267646979,0,0,0,0,1141,0,0,0,0,0
267659398,0,0,0,0,2894,0,0,0,954,954
267669568,0,0,0,0,1850,0,0,0,7888,7888
267679409,0,0,0,0,232391,0,0,0,6217,6217
267687089,0,0,0,0,0,0,0,0,127308,127308
267702895,0,0,0,0,0,0,0,0,6294,6294
267711539,0,0,0,0,81000,0,0,0,1593,1593
267721237,0,0,0,0,1902,0,0,0,0,0
267728754,0,0,0,0,0,0,0,0,0,0
267732448,0,0,0,0,26856,0,0,0,7938,7938
267753758,0,0,0,0,0,0,0,0,6810,6810
267764491,0,0,0,0,7800,0,0,0,9635,9635
267767075,2,0,0,0,1345,0,0,0,0,0
267791162,0,0,0,0,14382,0,0,0,1492,1492
267792569,1,0,0,0,0,0,0,0,78321,78321
267837129,0,0,0,0,5829,0,0,0,0,0
267902462,1,0,0,0,44439,0,0,0,0,0
267905509,0,0,0,0,27609,0,0,0,162047,162047
267934779,1,0,0,0,289142,0,0,0,57030,57030
267937500,0,0,0,0,169689,0,0,0,99927,99927
267987108,0,0,0,0,0,0,0,0,11295,11295
268012455,0,0,0,0,24128,0,0,0,110765,110765
268070843,0,0,0,0,499864,0,0,0,89687,89687
268136595,0,0,0,0,22020,0,0,0,53801,53801
268138071,0,0,0,0,0,0,0,0,0,0
268146287,0,0,0,0,0,0,0,0,234069,234069
268166957,0,0,0,0,0,0,0,0,0,0
268197510,0,72000,0,0,264,0,0,0,140300,140300
268207188,0,0,0,0,9216,0,0,0,52720,52720
268222104,1,0,74200,0,0,0,0,0,0,0
268240905,1,0,0,0,309421,0,0,0,120615,120615
268305869,0,56050,0,0,15115,0,0,0,649606,649606
268377825,0,0,29400,0,19474,0,0,0,42343,42343
268469599,0,0,0,0,586,0,0,0,62613,62613
268472521,0,0,52500,0,14474,0,0,0,37883,37883
268527911,0,0,0,0,12052,0,0,0,53680,53680
268532882,0,0,0,0,16293,0,0,0,36921,36921
268559295,0,731760,0,0,250165,0,0,0,165036,165036
