FILING_SEQ_NO,AGEGRP,SALARIES,INCOME_HP,Income_BP,TOTAL_INCOME_OS,Aggregate_Income,TI_special_rates,tax_TI_special_rates,GTI,TTI,pitax
326402151,0,0,0,0,801440,0,0,0,0,0,0
337504911,0,215921,0,0,18805,0,0,0,215921,215921,0
334745383,0,0,0,0,44,0,0,0,0,0,0
275115160,0,839264,0,0,0,0,0,0,839264,839264,92853
324435355,0,0,0,0,692,0,0,0,0,0,0
313583493,0,0,0,0,0,0,0,0,0,0,0
336654059,0,0,0,0,0,0,0,0,0,0,0
274477283,0,747627,0,0,0,0,0,0,747627,747627,74525
338805533,0,0,0,0,0,0,0,0,0,0,0
300417433,1,0,0,0,349906,0,0,0,0,0,0
282042260,1,167513,0,0,113881,0,0,0,167513,167513,0
317515200,0,705158,0,0,22449,0,0,0,705158,705158,66032
330718882,0,0,0,0,296906,0,0,0,0,0,0
339233417,0,0,0,0,2567,0,0,0,0,0,0
292080936,0,1121472,-144639,0,0,0,0,0,1121472,1121472,161442
318632697,0,0,0,0,1365,0,0,0,0,0,0
310169142,0,1308106,-200000,0,0,0,0,0,1308106,1308106,217432
271794559,0,4077211,0,0,0,0,0,0,4077211,4077211,1048163
312384548,0,0,0,0,65254,0,0,0,0,0,0
326827825,0,0,0,0,31034,0,0,0,0,0,0
363021694,0,836753,0,0,0,0,0,0,836753,836753,92351
267890042,0,1469268,-81851,0,62571,0,0,0,1469268,1469268,265780
302693880,0,0,0,0,25684,0,0,0,0,0,0
286691234,0,1295184,-129844,0,0,0,0,0,1295184,1295184,213555
310841951,0,0,0,0,0,0,0,0,0,0,0
337231157,0,101160,0,0,59,0,0,0,101160,101160,0
316471548,0,0,0,0,6972,0,0,0,0,0,0
313912951,0,0,0,0,14834,0,0,0,0,0,0
314930257,0,0,0,0,0,0,0,0,0,0,0
286451299,0,0,0,0,740,0,0,0,0,0,0
334107174,0,0,102304,0,106644,0,0,0,97304,97304,140000
286041096,0,230800,0,0,579039,0,0,0,230800,230800,0
291088553,0,1652789,0,0,0,0,0,0,1652789,1652789,320837
287515142,0,434208,0,0,0,0,0,0,434208,434208,18421
322053659,0,1427088,-200000,0,0,0,0,0,1427088,1427088,253126
289000707,0,973297,0,0,0,0,0,0,973297,973297,119659
311520717,0,1632248,0,0,79010,0,0,0,1632248,1632248,314674
280016398,0,1186560,0,0,0,0,0,0,1186560,1186560,180968
278448034,0,460500,0,0,15717,0,0,0,460500,460500,21050
295909804,0,1227272,0,0,0,0,0,0,1227272,1227272,193182
293173812,0,475009,0,0,71727,0,0,0,475009,475009,22501
300836543,0,772684,0,0,4512,0,0,0,772684,772684,79537
273750778,0,406738,0,0,0,0,0,0,406738,406738,15674
295609803,0,0,0,0,80900,0,0,0,0,0,0
280989975,1,658559,0,0,621948,0,0,0,658559,658559,56712
291256239,1,172200,200900,0,2441195,0,0,0,368100,368100,11810
332395615,0,0,0,0,1469,0,0,0,0,0,0
332904022,0,0,0,0,0,0,0,0,0,0,0
296396486,0,728850,0,0,10557,0,0,0,728850,728850,70770
306308899,1,0,0,0,851941,0,0,0,0,0,0
275402183,0,0,0,0,72210,0,0,0,0,0,0
285663383,0,0,0,0,0,0,0,0,0,0,0
309651884,0,0,0,0,261280,0,0,0,0,0,0
269433663,0,765462,0,0,74245,0,0,0,765462,765462,78092
290250912,0,1589581,-39389,0,47922,0,0,0,1589581,1589581,301874
273988639,0,781120,0,0,0,0,0,0,781120,781120,81224
329208663,0,0,0,0,67634,0,0,0,0,0,12321
277720381,0,682718,0,0,0,0,0,0,682718,682718,61544
275524760,0,1030563,-4211,0,59370,0,0,0,1030563,1030563,134169
278180852,0,0,0,0,727774,0,0,0,0,0,0
284984654,0,2682294,6032,0,6801,0,0,0,2683326,2683326,629998
324064779,0,0,0,0,138585,0,0,0,0,0,0
278685363,0,3392777,0,0,115714,0,0,0,3392777,3392777,842833
274320512,0,0,0,0,3784,0,0,0,0,0,0
285085203,0,0,0,0,1089799,0,0,0,0,0,0
295492757,0,0,0,0,0,0,0,0,0,0,0
309511009,0,0,0,0,0,0,0,0,0,0,0
337137704,0,0,0,0,9708,0,0,0,0,0,0
278405923,1,0,0,0,2270435,0,0,0,0,0,0
328876743,0,0,0,0,0,0,0,0,0,0,0
325017761,0,1172505,-180000,0,0,0,0,0,1172505,1172505,176752
325789714,0,0,0,0,173,0,0,0,0,0,0
306776462,0,0,0,0,0,0,0,0,0,0,0
277739391,0,1513096,-147519,0,0,0,0,0,1513096,1513096,278929
296401634,0,547522,0,0,0,0,0,0,547522,547522,34504
308432460,0,0,0,0,328819,0,0,0,0,0,0
284048578,0,456899,0,0,0,0,0,0,456899,456899,20690
319343520,0,461871,0,0,0,0,0,0,461871,461871,21187
297374039,0,0,0,0,114201,0,0,0,0,0,0
277371953,0,790555,0,0,0,0,0,0,790555,790555,83111
280144796,0,982518,0,0,0,0,0,0,982518,982518,121504
313065573,0,0,0,0,0,0,0,0,0,0,0
276655948,1,0,0,0,84364,0,0,0,0,0,0
338763271,0,0,0,0,16252,0,0,0,0,0,0
278569516,1,280180,32235,0,357303,0,0,0,307415,307415,5742
319157213,0,0,0,0,1362,0,0,0,0,0,0
287550931,1,100000,0,0,248000,0,0,0,100000,100000,0
279422489,0,809780,0,0,0,0,0,0,809780,809780,86956
289398493,0,995043,-35321,0,16451,0,0,0,995043,995043,124009
293830574,0,0,0,0,0,0,0,0,0,0,0
318555518,0,425256,0,0,0,0,0,0,425256,425256,17526
300499210,0,0,0,0,614552,0,0,0,0,0,0
318893723,0,741125,0,0,0,0,0,0,741125,741125,73225
306583795,0,0,0,0,0,0,0,0,0,0,0
291918874,0,1272752,-65156,0,0,0,0,0,1272752,1272752,206826
271123274,1,340769,-132763,0,0,0,0,0,340769,340769,9077
332880736,0,0,168588,0,2236036,0,0,0,163588,163588,0
321638347,0,0,0,0,207716,0,0,0,0,0,0
298154643,1,643179,0,0,0,0,0,0,643179,643179,53636
341255569,0,0,0,0,125860,0,0,0,0,0,0
296160276,1,0,228447,0,13789,0,0,0,223447,223447,0
298901053,0,1892033,0,0,4650,0,0,0,1892033,1892033,392610
285219465,0,0,1663647,0,140905,0,0,0,1658647,1658647,322594
274473404,1,0,0,0,350387,0,0,0,0,0,0
319871253,0,0,0,0,35392,0,0,0,0,0,0
340781238,0,0,0,0,135,0,0,0,0,0,0
271340597,0,0,-101961,0,0,0,0,0,0,0,0
296074115,0,600315,0,0,0,0,0,0,600315,600315,45063
311620537,0,0,0,0,31,0,0,0,0,0,0
280552060,0,448495,0,0,0,0,0,0,448495,448495,19850
292020854,2,1512040,67200,0,143210,0,0,0,1574240,1574240,297272
278788393,0,273676,0,0,26324,0,0,0,273676,273676,2368
290621367,0,0,0,0,4930,0,0,0,0,0,0
297620894,0,0,0,0,297334,0,0,0,0,0,0
322436943,0,0,0,0,0,0,0,0,0,0,0
319595795,0,0,0,0,0,0,0,0,0,0,0
340204375,0,0,0,0,0,0,0,0,0,0,0
279009752,0,0,0,0,11000,0,0,0,0,0,0
302608077,0,0,1411535,0,24763,0,0,0,1406535,1406535,246960
276264444,0,1142777,0,0,17587,0,0,0,1142777,1142777,167833
298532660,0,0,0,0,350505,0,0,0,0,0,0
301344776,0,0,0,0,335900,0,0,0,0,0,0
293013475,0,2923037,0,0,12868,0,0,0,2923037,2923037,701911
270162511,0,0,0,0,0,0,0,0,0,0,0
335490541,0,280000,0,0,18431,0,0,0,280000,280000,3000
320725505,0,890121,0,0,16036,0,0,0,890121,890121,103024
279243794,0,1243314,-4413,0,12653,0,0,0,1243314,1243314,197994
305993958,0,52286305,0,0,0,0,0,0,52286305,52286305,15510892
277109404,0,735787,-23466,0,0,0,0,0,735787,735787,72157
295260888,0,1952597,0,0,0,0,0,0,1952597,1952597,410779
330364484,0,0,0,0,7214,0,0,0,0,0,0
271805397,0,392764,0,0,147,0,0,0,392764,392764,14276
290084392,1,1594179,-45084,0,33945,0,0,0,1594179,1594179,303254
328819534,0,0,0,0,52696,0,0,0,0,0,0
290846904,0,1149925,0,0,0,0,0,0,1149925,1149925,169978
287982581,0,595311,0,0,0,0,0,0,595311,595311,44062
337356236,0,0,0,0,1169,0,0,0,0,0,0
336875667,0,0,0,0,262950,0,0,0,0,0,0
290631818,0,611716,0,0,229,0,0,0,611716,611716,47343
282024203,0,2049840,-108771,0,0,0,0,0,2049840,2049840,439952
297579677,0,1200000,-200000,0,247527,0,0,0,1200000,1200000,185000
283086270,0,1357971,0,0,0,0,0,0,1357971,1357971,232391
291112672,0,0,358600,0,280000,0,0,0,353600,353600,10360
289625701,0,834222,0,0,0,0,0,0,834222,834222,91844
272351354,0,1145193,-36908,0,0,0,0,0,1145193,1145193,168558
298393851,0,573505,0,0,0,0,0,0,573505,573505,39701
308708900,0,0,0,0,145476,0,0,0,0,0,0
287848251,0,4657573,0,0,24010,0,0,0,4657573,4657573,1222272
291611899,0,1080490,0,0,5475,0,0,0,1080490,1080490,149147
283473429,1,0,0,0,365740,0,0,0,0,0,0
331643086,0,0,0,0,0,0,0,0,0,0,0
300400806,0,2400000,214200,0,298964,0,0,0,2609200,2609200,607760
288846216,0,775814,-147645,0,3613,0,0,0,775814,775814,80163
291401160,0,1491311,0,0,5104,0,0,0,1491311,1491311,272393
272958861,2,448074,0,0,315003,0,0,0,448074,448074,19807
325632686,0,0,0,0,4326,0,0,0,0,0,0
290114436,0,1636932,0,0,22372,0,0,0,1636932,1636932,316080
291900695,0,1655000,0,0,18954,0,0,0,1655000,1655000,321500
290786305,0,1250864,-200000,0,3450,0,0,0,1250864,1250864,200259
315571646,0,0,0,0,12400,0,0,0,0,0,0
280103851,0,570275,0,0,0,0,0,0,570275,570275,39055
283920989,0,1472252,0,0,95581,0,0,0,1472252,1472252,266676
285193439,0,423590,0,0,0,0,0,0,423590,423590,17359
317592654,0,0,0,0,0,0,0,0,0,0,0
274313446,0,1227925,-200000,0,0,0,0,0,1227925,1227925,193378
266723331,0,878628,0,0,0,0,0,0,878628,878628,100726
307587427,0,0,134400,0,23867,0,0,0,129400,129400,0
299908327,0,0,0,0,3885,0,0,0,0,0,0
279452022,0,814887,0,0,0,0,0,0,814887,814887,87977
321586435,0,0,0,0,248,0,0,0,0,0,0
280947707,0,508001,0,0,0,0,0,0,508001,508001,26600
304197060,0,0,0,0,105312,0,0,0,0,0,0
283770384,0,761834,0,0,0,0,0,0,761834,761834,77367
279382810,0,1311952,-315835,0,0,0,0,0,1311952,1311952,218586
282105891,0,999327,0,0,3697,0,0,0,999327,999327,124865
325619119,0,0,0,0,30331,0,0,0,0,0,0
293311468,0,8080751,0,0,75704,0,0,0,8080751,8080751,2249225
278451640,0,642810,0,0,1321,0,0,0,642810,642810,53562
333379084,0,2237662,0,0,0,0,0,0,2237662,2237662,496299
335260915,1,0,0,0,0,0,0,0,0,0,0
289261634,0,0,0,0,2747,0,0,0,0,0,0
322345955,0,300000,0,0,134058,0,0,0,300000,300000,5000
286599381,0,1070144,0,0,0,0,0,0,1070144,1070144,146043
272268821,0,850420,0,0,0,0,0,0,850420,850420,95084
328023611,0,1648403,-200000,0,7548,0,0,0,1648403,1648403,319521
285570144,0,0,0,0,276867,0,0,0,0,0,0
348091751,0,1164452,0,0,18062,0,0,0,1164452,1164452,174336
284701808,0,602024,0,0,3245,0,0,0,602024,602024,45405
289426682,0,305357,0,0,0,0,0,0,305357,305357,5536
274619968,0,567718,0,0,0,0,0,0,567718,567718,38544
285270432,0,8796736,0,0,195182,0,0,0,8796736,8796736,2464021
329591255,0,68949030,0,0,0,0,0,0,68949030,68949030,20509709
278730797,0,0,-200000,0,670,0,0,0,0,0,0
285783666,0,942507,0,0,0,0,0,0,942507,942507,113501
339375252,0,540452,0,0,0,0,0,0,540452,540452,33090
284829197,0,667714,0,0,6952,0,0,0,667714,667714,58543
286624721,0,0,0,0,1707497,0,0,0,0,0,114545
300405501,0,857787,0,0,2717,0,0,0,857787,857787,96557
304062969,1,964961,0,0,9812,0,0,0,964961,964961,117992
296161890,0,1478000,0,0,8918,0,0,0,1478000,1478000,268400
324151806,0,120000,52080,0,391919,0,0,0,167080,167080,0
300931610,0,0,0,0,323800,0,0,0,0,0,0
297509623,0,0,0,0,0,0,0,0,0,0,0
306538488,0,0,0,0,292677,0,0,0,0,0,0
311568911,0,0,0,0,16898,0,0,0,0,0,12724
322035832,0,0,0,0,0,0,0,0,0,0,0
313088398,0,1403400,0,0,13259,0,0,0,1403400,1403400,246020
293675493,0,1324556,-145420,0,0,0,0,0,1324556,1324556,222367
272459242,0,637755,0,0,0,0,0,0,637755,637755,52551
274762325,0,420569,0,0,0,0,0,0,420569,420569,17057
283100552,0,1399120,-74990,0,0,0,0,0,1399120,1399120,244736
272839535,1,14800,0,0,213057,0,0,0,14800,14800,0
285826405,0,2833100,9311,0,31264,0,0,0,2837411,2837411,676223
343004024,0,1240923,0,0,0,0,0,0,1240923,1240923,197277
272323194,1,221236,0,0,132907,0,0,0,221236,221236,0
326679078,0,644383,-60000,0,22209,0,0,0,644383,644383,53877
270625824,0,1144782,-12600,0,0,0,0,0,1144782,1144782,168435
272771866,0,1218366,0,0,8468,0,0,0,1218366,1218366,190510
338935169,0,0,0,0,158879,0,0,0,0,0,0
288973458,0,737110,0,0,76572,0,0,0,737110,737110,72422
330892443,0,0,0,0,0,0,0,0,0,0,0
285510006,0,538268,0,0,0,0,0,0,538268,538268,32654
341395200,0,392184,0,0,0,0,0,0,392184,392184,14218
274411000,0,0,0,0,147880,0,0,0,0,0,0
285060216,0,1220987,0,0,0,0,0,0,1220987,1220987,191296
297836249,0,9720,0,0,0,0,0,0,9720,9720,0
313885698,0,1857272,-200000,0,0,0,0,0,1857272,1857272,382182
314234972,0,50000,0,0,10739,0,0,0,50000,50000,0
281631730,0,3474994,0,0,75082,0,0,0,3474994,3474994,939567
305370043,0,0,694006,0,152687,0,0,0,689006,689006,62801
330678178,0,0,0,0,11539,0,0,0,0,0,0
293316646,0,0,0,0,678922,0,0,0,0,0,0
269138600,0,0,0,0,593,0,0,0,0,0,0
306126976,0,0,389223,0,33183,0,0,0,384223,384223,13422
329235327,0,0,0,0,0,0,0,0,0,0,0
286342999,0,623357,0,0,0,0,0,0,623357,623357,49671
288160646,1,0,0,0,402160,0,0,0,0,0,0
342229692,1,579955,0,0,0,0,0,0,579955,579955,40991
272769988,0,998038,0,0,7487,0,0,0,998038,998038,124608
329284375,0,0,0,0,341,0,0,0,0,0,0
273725935,0,571811,0,0,0,0,0,0,571811,571811,39362
305252244,0,579764,0,0,11416,0,0,0,579764,579764,40953
314826307,0,798876,0,0,0,0,0,0,798876,798876,84775
319501325,0,0,0,0,25194,0,0,0,0,0,0
266772587,0,120198,0,0,15239,0,0,0,120198,120198,0
305749626,0,120000,0,0,210824,0,0,0,120000,120000,0
316775886,0,0,0,0,0,0,0,0,0,0,0
289893509,1,0,0,0,472551,0,0,0,0,0,0
334221304,1,0,0,0,2394,0,0,0,0,0,0
305908262,0,0,0,0,2640,0,0,0,0,0,0
322658058,0,713561,0,0,93333,0,0,0,713561,713561,67712
268762483,0,0,0,0,225374,0,0,0,0,0,0
333800947,0,0,0,0,81401,0,0,0,0,0,0
291778095,0,726749,0,0,0,0,0,0,726749,726749,70350
285306782,0,680688,0,0,0,0,0,0,680688,680688,61138
281608835,0,1180325,0,0,0,0,0,0,1180325,1180325,179098
328762917,0,0,0,0,21250,0,0,0,0,0,0
289805231,0,869704,376600,0,197182,0,0,0,1241304,1241304,197391
342701393,1,564652,0,0,65827,0,0,0,564652,564652,37930
306493353,1,0,72100,0,470,0,0,0,67100,67100,0
283598593,0,411190,0,0,19786,0,0,0,411190,411190,16119
278817347,1,1644914,0,0,796108,0,0,0,1644914,1644914,318474
281293932,0,380190,0,0,0,0,0,0,380190,380190,13019
299119252,0,0,0,0,0,0,0,0,0,0,0
337121842,0,809844,0,0,5000,0,0,0,809844,809844,86969
346407878,0,0,0,0,0,0,0,0,0,0,0
332879934,0,1259490,0,0,0,0,0,0,1259490,1259490,202847
291505936,0,0,0,0,29262,0,0,0,0,0,0
312556498,0,0,1335307,0,79336,0,0,0,1330307,1330307,303419
306690516,0,0,0,0,14444,0,0,0,0,0,0
305805269,0,1047826,0,0,0,0,0,0,1047826,1047826,139348
337214209,0,246000,0,0,26480,0,0,0,246000,246000,0
295260084,0,1035213,0,0,3566,0,0,0,1035213,1035213,135564
324708403,0,0,0,0,3977,0,0,0,0,0,0
289806978,0,941765,0,0,0,0,0,0,941765,941765,113353
328715913,0,0,0,0,1917,0,0,0,0,0,0
303624167,0,605352,0,0,0,0,0,0,605352,605352,46070
295132951,1,0,0,0,1376835,0,0,0,0,0,0
287777350,0,798596,0,0,0,0,0,0,798596,798596,84719
328934526,0,0,615000,0,5574897,0,0,0,610000,610000,47000
373436766,0,1560033,0,0,3100,0,0,0,1560033,1560033,293010
298518774,0,0,0,0,1250,0,0,0,0,0,0
271984188,0,2392520,-181858,0,0,0,0,0,2392520,2392520,542756
301813471,0,839441,0,0,8550,0,0,0,839441,839441,92888
317127908,0,1066254,0,0,3000,0,0,0,1066254,1066254,144876
291004826,0,457923,0,0,0,0,0,0,457923,457923,20792
284398822,0,76470919,0,0,0,0,0,0,76470919,76470919,22766276
319552280,0,0,0,0,94,0,0,0,0,0,0
307281118,0,0,0,0,0,0,0,0,0,0,0
274873955,0,1445405,0,0,75725,0,0,0,1445405,1445405,258622
283573354,1,552530,0,0,206140,0,0,0,552530,552530,35506
318101695,0,736000,0,0,48000,0,0,0,736000,736000,72200
283914975,0,653783,0,0,0,0,0,0,653783,653783,55757
268228341,0,0,0,0,0,0,0,0,0,0,0
309548569,0,0,0,0,185352,0,0,0,0,0,0
288933621,0,5552421,0,0,26117,0,0,0,5552421,5552421,1490726
273712365,0,846019,-56000,0,23007,0,0,0,846019,846019,94204
287219659,0,723640,0,0,33445,0,0,0,723640,723640,69728
274993971,2,0,157850,0,703359,0,0,0,152850,152850,0
324135980,1,0,745684,0,81693,0,0,0,740684,740684,73137
284551021,0,940864,0,0,41880,0,0,0,940864,940864,113173
283877452,0,875602,-76078,0,0,0,0,0,875602,875602,100120
299708989,0,652252,0,0,0,0,0,0,652252,652252,55450
295334671,1,401960,0,0,20049,0,0,0,401960,401960,15196
312940876,0,0,0,0,1922,0,0,0,0,0,0
318520380,0,3004812,-300000,0,0,0,0,0,3004812,3004812,726444
332316642,0,0,0,0,0,0,0,0,0,0,0
298813437,1,0,0,0,0,0,0,0,0,0,0
290894070,0,1075638,-69961,0,0,0,0,0,1075638,1075638,147691
328024593,0,0,0,0,13649,0,0,0,0,0,0
335667203,0,0,0,0,0,0,0,0,0,0,0
291652657,0,0,0,0,131071,0,0,0,0,0,0
284564322,0,657867,0,0,0,0,0,0,657867,657867,56573
327500031,0,3876396,-180256,0,0,0,0,0,3876396,3876396,987919
291066668,0,552820,0,0,0,0,0,0,552820,552820,35564
310712347,0,0,0,0,0,0,0,0,0,0,0
296069858,0,508376,-101011,0,0,0,0,0,508376,508376,26675
296154556,0,332600,0,0,0,0,0,0,332600,332600,8260
274341270,0,1602660,0,0,0,0,0,0,1602660,1602660,305798
270391864,0,0,0,0,5858,0,0,0,0,0,0
279883601,0,1625184,0,0,0,0,0,0,1625184,1625184,312555
282038410,0,1141209,-98100,0,0,0,0,0,1141209,1141209,167363
311800732,0,0,0,0,417355,0,0,0,0,0,0
315717334,0,1442954,0,0,0,0,0,0,1442954,1442954,257886
285674105,0,1486818,134169,0,26279,0,0,0,1615987,1615987,309796
329287302,2,0,174919,0,43189,0,0,0,169919,169919,637269
271604662,0,410040,0,0,0,0,0,0,410040,410040,16004
336723863,0,374330,0,0,0,0,0,0,374330,374330,12433
287040047,0,631686,0,0,0,0,0,0,631686,631686,51337
330335016,0,239948,0,0,0,0,0,0,239948,239948,0
284910863,0,624170,0,0,0,0,0,0,624170,624170,49834
292829536,0,1054489,0,0,0,0,0,0,1054489,1054489,141347
328107652,0,0,0,0,0,0,0,0,0,0,0
277308598,0,2352222,0,0,114839,0,0,0,2352222,2352222,530667
273934170,0,1128564,-41485,0,0,0,0,0,1128564,1128564,163569
302130097,0,0,-3398,0,683,0,0,0,0,0,0
275853921,0,1433826,-200000,0,0,0,0,0,1433826,1433826,255148
277456741,0,686310,-30000,0,0,0,0,0,686310,686310,62262
285740426,1,388413,0,0,0,0,0,0,388413,388413,13841
269325216,0,2416302,-152736,0,0,0,0,0,2416302,2416302,549891
336291577,0,0,0,0,0,0,0,0,0,0,0
316509864,0,240000,0,0,1056076,0,0,0,240000,240000,0
278545865,0,272060,0,0,56612,0,0,0,272060,272060,2206
294234507,0,423483,0,0,0,0,0,0,423483,423483,17348
276349628,0,865143,-35795,0,0,0,0,0,865143,865143,98029
281263352,0,283952,0,0,0,0,0,0,283952,283952,3395
282600691,0,724620,0,0,0,0,0,0,724620,724620,69924
292482756,0,0,0,0,15119,0,0,0,0,0,0
297733223,0,713226,0,0,0,0,0,0,713226,713226,67645
333684237,0,0,113399,0,35584,0,0,0,108399,108399,28199
276126454,0,59842461,0,0,0,0,0,0,59842461,59842461,17777738
329398100,0,754024,0,0,15212,0,0,0,754024,754024,75805
292535648,0,576304,0,0,0,0,0,0,576304,576304,40261
285569008,1,422136,0,0,14100,0,0,0,422136,422136,17214
281219272,0,439316,0,0,432289,0,0,0,439316,439316,18932
303540318,0,0,0,0,4071,0,0,0,0,0,0
